mlb_id,player_name_fg,team,season,ip,g,gs,era,fip,xfip,siera,xera,whip,k_pct,bb_pct,k_minus_bb_pct,swstr_pct,csw_pct,c_plus_swstr_pct,hr_fb,gb_pct,lob_pct,barrel_pct,hard_hit_pct,avg_ev,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
571945,Miles Mikolas,STL,2024,171.2,32.0,32.0,5.3475731324174385,4.238324501998737,4.0838025414734505,4.2772303223837405,4.615169471188496,1.2757282309361864,16.94,3.47,0.13472222,6.99,,25.99,0.126213592,41.95,62.9,8.1,42.25,88.84655005530973,94.10920059215398,108.181539600296,97.4629607698001,35.24225306099816,71.50047809242145,-0.33110060628465804
489446,Kirby Yates,TEX,2024,61.2,61.0,0.0,1.16756768794371,2.5016148448774045,3.1196542932023377,2.8491652202237674,1.8576134852330684,0.8270271122934612,35.86,11.81,0.24050633,15.18,,30.25,0.058823529,45.45,88.11,4.1,32.79,87.55289579028926,96.68236097560971,99.29560975609755,94.00003902439022,46.82695946464645,55.19457357575757,0.22825543434343434
686752,Ryan Pepiot,TBR,2024,130.0,26.0,26.0,3.6,3.9510951629051796,4.053874416477405,3.8796489914530965,3.5973862448690803,1.1538461538461537,26.35,8.91,0.17439703,12.88,,28.88,0.109677419,35.29,74.32,9.06,37.13,89.34970703125,109.68328052190121,98.33146318732524,108.06315936626285,61.93877829302324,52.50703737209302,-0.44819558604651166
656849,David Peterson,NYM,2024,121.0,21.0,21.0,2.9008264462809916,3.6706120096947537,4.098189413338161,4.3713836657811616,4.589609629972819,1.2892561983471074,19.8,9.02,0.10784314,10.88,,27.52,0.077669902,50.14,78.39,7.3,42.7,89.33200911827196,93.3495437466452,97.93933440687066,95.57390230810519,50.67514331733334,46.47747658666666,0.30608423466666673
502085,David Robertson,TEX,2024,72.0,68.0,0.0,3.0000003178914727,2.6525908349472744,2.8838193863377555,2.6917242015388076,3.1665192535608204,1.1111112288486935,33.45,9.12,0.24324324,11.72,,32.1,0.092592592,48.78,76.92,5.45,37.58,88.65460242523007,111.79049586776861,97.00325619834716,109.18715702479338,55.18746510460253,42.787661230125536,0.15687061924686196
680573,Simeon Woods Richardson,MIN,2024,133.2,28.0,28.0,4.1745639087221456,4.116604538877094,4.551368757712746,4.5094067955579185,4.045841293142306,1.2942644376504142,20.56,8.44,0.12126538,9.57,,25.07,0.09090909,35.26,73.57,8.23,36.16,88.448106895466,90.2422202797203,106.35987762237765,98.10552447552443,43.273834760661444,60.10574179721498,0.1493637510879025
676710,Kutter Crawford,BOS,2024,183.2,33.0,33.0,4.361161766047359,4.647423598970047,4.348371778374868,4.093481215307128,3.845346132680945,1.1215971583093083,23.06,6.72,0.16337286,12.11,,27.81,0.1328125,33.01,70.49,9.92,36.26,88.43571277750965,99.88162584309546,104.33618743343985,103.68233581824632,44.98877740944017,57.71099149286499,-0.3438404024881083
641729,Joe Jimenez,ATL,2024,68.2,69.0,0.0,2.6213593203853613,2.336382660167764,3.521129259993768,3.037028733626935,2.569237803615505,0.9902912988122476,29.6,8.3,0.21299639,15.52,,31.96,0.028169014,41.92,72.25,4.76,32.74,87.76526829154191,103.64860294117652,103.61290441176475,105.44049632352937,47.234822268135886,58.54182108356291,-0.2958997520661157
663623,Jake Irvin,WSN,2024,187.2,33.0,33.0,4.412078391911096,4.4080429006512505,4.034709167073764,4.211716742056929,4.298777448564651,1.1989343456280153,20.29,6.76,0.13524057,9.52,,26.23,0.142857142,43.94,70.06,9.16,39.14,88.82399857954546,98.59909779387553,102.88345077378987,98.39569970365496,45.205890554826006,56.85345387393301,-0.06486519041365725
592351,Jon Gray,TEX,2024,102.2,23.0,19.0,4.470779373053059,3.702194082250401,4.238620411057316,4.294668667187892,4.592338138799375,1.3149351097214879,19.59,6.38,0.13211845,11.4,,26.67,0.083969465,40.06,67.73,8.62,42.15,90.46312408447265,88.92489521485432,104.14020509682555,93.87215404487034,37.024071943592894,59.789579809932555,0.3261267811158798
